Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Product_ID,Product_Category,Product_Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Unit_Price,Revenue,Sales_Original,Profit_Original,Year,Month,Month_Name,Quarter,Day,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Is_Month_Start,Is_Month_End,Discount_Amount,Net_Revenue,Profit_Margin,Profit_Ratio,Delivery_Days,Delivery_Category,Customer_Order_Count,Is_Repeat_Customer,Product_Total_Sales,Product_Avg_Sales,Product_Order_Count,Sales_Category,Season
ORD000001,2022-01-01 00:00:00,2022-01-02 00:00:00,CUST1127,Customer_1275,Consumer,Central,PROD0215,Office Supplies,Appliances,Product_2,235.92643984491033,1,0.0,39.77540124260096,8.15725061844054,High,235.92643984491033,235.92643984491033,235.92643984491033,39.77540124260096,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,235.92643984491033,16.859238527376537,0.16859238527376538,1,Same/Next Day,5,1,3237.383975826766,119.90311021580614,27,Very High,Winter
ORD000002,2022-01-01 01:00:00,2022-01-02 01:00:00,CUST1460,Customer_1334,Corporate,East,PROD0002,Furniture,Shirts,Product_206,180.50273921461704,9,0.15,12.835349761169583,3.822394037404041,Medium,20.055859912735226,180.50273921461704,180.50273921461704,12.835349761169583,2022,1,January,1,1,5,Saturday,52,1,1,0,27.075410882192553,153.42732833242448,7.110889184849658,0.07110889184849657,1,Same/Next Day,8,1,2176.965626244329,114.57713822338575,19,Very High,Winter
ORD000003,2022-01-01 02:00:00,2022-01-02 02:00:00,CUST0861,Customer_1744,Corporate,East,PROD0121,Electronics,Paper,Product_230,40.97699767707395,7,0.0,46.20363573245932,9.084032084384909,Low,5.853856811010565,40.97699767707395,40.97699767707395,46.20363573245932,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,40.97699767707395,112.7550536927443,1.127550536927443,1,Same/Next Day,3,1,2015.0528659296651,87.61099417085501,23,Low,Winter
ORD000004,2022-01-01 03:00:00,2022-01-02 03:00:00,CUST1295,Customer_833,Corporate,East,PROD0103,Clothing,Appliances,Product_335,275.33240624746435,9,0.1,14.270851781582817,6.348036073482419,High,30.592489583051595,275.33240624746435,421.6658203011853,14.270851781582817,2022,1,January,1,1,5,Saturday,52,1,1,0,27.533240624746437,247.7991656227179,5.183135532820791,0.051831355328207915,1,Same/Next Day,8,1,2854.594580313918,95.15315267713059,30,Very High,Winter
ORD000005,2022-01-01 04:00:00,2022-01-02 04:00:00,CUST1131,Customer_140,Consumer,South,PROD0149,Office Supplies,Accessories,Product_192,151.93819413190042,5,0.0,-61.86567943714014,36.46798897316005,High,30.387638826380083,151.93819413190042,151.93819413190042,-62.7125645224467,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,151.93819413190042,-40.71766140871292,-0.40717661408712924,1,Same/Next Day,5,1,2808.9663395418384,112.35865358167354,25,Very High,Winter
ORD000006,2022-01-01 05:00:00,2022-01-02 05:00:00,CUST1096,Customer_792,Home Office,South,PROD0436,Furniture,Chairs,Product_320,216.91027398574363,9,0.1,28.284227384348178,5.527908497500494,High,24.101141553971516,216.91027398574363,216.91027398574363,28.284227384348178,2022,1,January,1,1,5,Saturday,52,1,1,0,21.691027398574363,195.21924658716927,13.039597832146555,0.13039597832146554,1,Same/Next Day,4,1,2359.7638435169224,112.36970683413917,21,Very High,Winter
ORD000007,2022-01-01 06:00:00,2022-01-02 06:00:00,CUST1725,Customer_546,Consumer,East,PROD0152,Clothing,Phones,Product_356,78.55064729257418,5,0.25,-24.928636560342433,11.455969715875328,High,15.710129458514837,78.55064729257418,78.55064729257418,-24.928636560342433,2022,1,January,1,1,5,Saturday,52,1,1,0,19.637661823143546,58.91298546943064,-31.735749378985794,-0.31735749378985795,1,Same/Next Day,7,1,1955.2377325979032,97.76188662989516,20,Medium,Winter
ORD000008,2022-01-01 07:00:00,2022-01-02 07:00:00,CUST1045,Customer_1845,Corporate,East,PROD0053,Furniture,Chairs,Product_253,45.83257316438141,6,0.25,40.25859553882806,4.730251652464165,High,7.638762194063568,45.83257316438141,45.83257316438141,40.25859553882806,2022,1,January,1,1,5,Saturday,52,1,1,0,11.458143291095352,34.374429873286054,87.83839256512628,0.8783839256512628,1,Same/Next Day,2,1,1566.6366463586278,104.44244309057518,15,Low,Winter
ORD000009,2022-01-01 08:00:00,2022-01-02 08:00:00,CUST1639,Customer_1017,Consumer,Central,PROD0166,Clothing,Phones,Product_472,165.3186299599197,8,0.2,4.925381987937529,10.704726850956472,Medium,20.66482874498996,165.3186299599197,165.3186299599197,4.925381987937529,2022,1,January,1,1,5,Saturday,52,1,1,0,33.06372599198394,132.25490396793575,2.9793266428179646,0.029793266428179643,1,Same/Next Day,4,1,2370.449490652309,148.15309316576932,16,Very High,Winter
ORD000010,2022-01-01 09:00:00,2022-01-02 09:00:00,CUST0122,Customer_1928,Consumer,South,PROD0404,Clothing,Phones,Product_316,104.88947829168676,9,0.1,17.259076460755164,9.224516732768276,Low,11.654386476854084,104.88947829168676,104.88947829168676,17.259076460755164,2022,1,January,1,1,5,Saturday,52,1,1,0,10.488947829168676,94.40053046251808,16.45453551857648,0.1645453551857648,1,Same/Next Day,8,1,1428.7353835353333,89.29596147095833,16,High,Winter
ORD000011,2022-01-01 10:00:00,2022-01-02 10:00:00,CUST0467,Customer_1554,Consumer,Central,PROD0306,Electronics,Accessories,Product_89,107.90485526378592,3,0.0,59.00803995131851,3.901039190001323,Low,35.96828508792864,107.90485526378592,107.90485526378592,59.00803995131851,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,107.90485526378592,54.685250081719225,0.5468525008171923,1,Same/Next Day,5,1,2084.9208342624097,104.24604171312049,20,High,Winter
ORD000012,2022-01-01 11:00:00,2022-01-02 11:00:00,CUST1239,Customer_57,Consumer,Central,PROD0167,Electronics,Appliances,Product_393,60.40548617192635,2,0.0,26.63565426844159,8.748272356516317,High,30.202743085963174,60.40548617192635,60.40548617192635,26.63565426844159,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,60.40548617192635,44.09476018888596,0.44094760188885956,1,Same/Next Day,6,1,2190.1196966498246,121.67331648054581,18,Medium,Winter
ORD000013,2022-01-01 12:00:00,2022-01-02 12:00:00,CUST0331,Customer_112,Home Office,East,PROD0316,Clothing,Appliances,Product_15,152.6131420330736,5,0.0,20.42818487680423,12.6646608288934,High,30.522628406614718,152.6131420330736,152.6131420330736,20.42818487680423,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,152.6131420330736,13.385600089654881,0.1338560008965488,1,Same/Next Day,7,1,2745.6644102977993,114.4026837624083,24,Very High,Winter
ORD000014,2022-01-01 13:00:00,2022-01-02 13:00:00,CUST1483,Customer_5,Consumer,West,PROD0370,Furniture,Tables,Product_165,74.45190154593116,6,0.0,30.44577002357196,4.660337457857844,Medium,12.408650257655195,74.45190154593116,74.45190154593116,30.44577002357196,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,74.45190154593116,40.893206743402295,0.40893206743402294,1,Same/Next Day,6,1,2524.3690890104403,120.20805185764002,21,Medium,Winter
ORD000015,2022-01-01 14:00:00,2022-01-02 14:00:00,CUST0088,Customer_1434,Corporate,East,PROD0475,Electronics,Phones,Product_262,270.7146041081578,8,0.0,-15.587646672599549,5.30102242737128,Medium,33.839325513519725,270.7146041081578,270.7146041081578,-15.587646672599549,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,270.7146041081578,-5.757962975049496,-0.057579629750494965,1,Same/Next Day,5,1,2101.263828940309,105.06319144701544,20,Very High,Winter
ORD000016,2022-01-01 15:00:00,2022-01-02 15:00:00,CUST1397,Customer_1438,Home Office,South,PROD0364,Furniture,Shirts,Product_427,89.18346266609888,4,0.1,55.64038624364095,8.14830608628641,Medium,22.29586566652472,89.18346266609888,89.18346266609888,55.64038624364095,2022,1,January,1,1,5,Saturday,52,1,1,0,8.918346266609888,80.26511639948899,62.3886812423481,0.623886812423481,1,Same/Next Day,4,1,2674.787181503824,121.58123552290108,22,Medium,Winter
ORD000017,2022-01-01 16:00:00,2022-01-02 16:00:00,CUST1124,Customer_1206,Consumer,West,PROD0295,Office Supplies,Phones,Product_45,118.38662884780446,1,0.0,4.9528682633836665,7.767182376088142,Low,118.38662884780446,118.38662884780446,118.38662884780446,4.9528682633836665,2022,1,January,1,1,5,Saturday,52,1,1,0,0.0,118.38662884780446,4.183638229745504,0.04183638229745504,1,Same/Next Day,5,1,3002.8247636204987,120.11299054481995,25,High,Winter
ORD000018,2022-01-01 17:00:00,2022-01-02 17:00:00,CUST0872,Customer_1037,Corporate,South,PROD0071,Office Supplies,Binders,Product_332,72.91747685597953,4,0.2,18.985064787207023,7.396516763292227,Low,18.229369213994882,72.91747685597953,72.91747685597953,18.985064787207023,2022,1,January,1,1,5,Saturday,52,1,1,0,14.583495371195907,58.33398148478362,26.03637098511339,0.2603637098511339,1,Same/Next Day,6,1,2489.900547424227,131.04739723285405,19,Medium,Winter
